Adı,Doğum Tarihi,Pozisyon,Son Takımı,Maç Sayısı,Gol Sayısı,Sarı Kart,Kırmızı Kart
Cristiano Ronaldo,1985,F,Al Nassr,1153,826,11,
Lionel Messi,1987,F,Inter Miami,1033,805,3,
Robert Lewandowski,1988,F,Barcelona,740,556,2,
Zlatan Ibrahimovic,1981,F,Milan,873,526,14,
Luis Suarez,1987,F,Gremio,837,505,2,
Gerd Müller,1945,F,Fort Lauderdale Strikers,522,456,1,
Karim Benzema,1987,F,Al Ittihad-Jeddah,873,450,0,
Edinson Cavani,1987,F,Valencia,761,419,4,
Neymar,1992,F,PSG,636,410,9,
Sergio Agüero,1988,F,Barcelona,711,395,4,
Hakan Şükür,1971,F,Galatasaray,830,383,1,
Metin Oktay,1936,F,Galatasaray,468,377,1,
Raul Gonzalez,1977,F,NY Cosmos,868,363,0,
Klaas-Jan Huntelaar,1983,F,Schalke 04,650,359,6,
David Villa,1981,F,Vissel Kobe,679,357,7,
Edin Dzeko,1986,F,Fenerbahçe,804,356,3,
Harry Kane,1993,F,Tottenham,580,356,0,
Samuel Eto'o,1981,F,Qatar SC,736,354,5,
Romelu Lukaku,1993,F,Chelsea,688,354,2,
Toni Polster,1964,F,Salzburg,621,351,3,
Gonzalo Higuain,1987,F,Inter Miami,732,346,5,
Wayne Rooney,1985,F,Derby County,830,340,8,
Bafetimbi Gomis,1985,F,Galatasaray,735,339,2,
Eran Zahavi,1987,O,Maccabi Tel Aviv,495,335,2,
Andre-Pierre Gignac,1985,F,Tigres UANL,720,334,3,
Tanju Çolak,1963,F,İstanbulspor,419,332,2,
Hulk,1986,F,Atletico Mineiro,639,326,5,
Pierre Aubameyang,1989,F,Marsilya,602,317,2,
Burak Yılmaz,1985,F,Fortuna Sittard,691,313,9,
Robbie Keane,1980,F,Atletico de Kolkata,679,311,2,
Robin van Persie,1983,F,Feyenoord,686,310,5,
Vivianne Miedema,1996,F,Arsenal (K),327,310,0,
Oscar Cardozo,1983,F,Libertad,662,302,8,
Mohamed Salah,1992,F,Liverpool,582,298,1,
Mario Gomez,1985,F,Stuttgart,597,297,1,
Radamel Falcao,1986,F,Rayo Vallecano,570,296,1,
Klaus Fischer,1949,F,Bochum,576,294,1,
Ciro Immobile,1990,F,Lazio,533,293,3,
Fred,1983,F,Fluminense,616,292,13,
Vagner Love,1984,F,Sport Recife,607,290,6,
Kylian Mbappe,1998,F,PSG,410,290,3,
Hami Mandıralı,1968,F,MKE Ankaragücü,644,289,1,
Hakkı Yeten,1910,F,Beşiktaş,325,284,2,
Antoine Griezmann,1991,F,Atletico Madrid,732,283,2,
Di Stefano,1926,F,Espanyol,396,282,3,
Didier Drogba,1978,F,Phoenix Rising,616,280,7,
Silvio Piola,1913,F,Novara,541,279,6,
Alessandro Del Piero,1974,F,Odisha FC,702,276,2,
Olivier Giroud,1986,F,Milan,670,276,5,
Youssef El-Arabi,1987,F,Olympiakos,498,275,1,
Jupp Heynckes,1945,O,Mönchengladbach,442,273,0,
Rudi Völler,1960,F,Bayer Leverkusen,566,273,1,
Thomas Müller,1989,F,Bayern Münih,774,271,2,
Marcus Berg,1986,F,Göteborg,587,271,4,
Miroslav Klose,1978,F,Lazio,667,270,4,
Jermain Defoe,1982,F,Sunderland,709,269,2,
Francesco Totti,1976,F,Roma,760,268,13,
Eugenie Le Sommer,1989,F,Lyon (K),395,267,1,
Pernille Mosegaard-Harder,1992,O,Chelsea (K),355,264,0,
Claudio Pizarro,1978,F,Werder Bremen,661,263,3,
Dimitar Berbatov,1981,F,Kerala Blasters,634,262,1,
Fernando Torres,1984,F,Sagan Tosu,757,261,7,
Daniela Sabatino,1985,F,Sassuolo (K),340,261,0,
Şeref Görkey,1913,F,Beşiktaş,312,261,2,
Alan Shearer,1970,F,Newcastle United,459,260,2,
Hugo Sanchez,1958,F,FC Dallas,400,259,6,
German Cano,1988,F,Fluminense,497,258,1,
Nemanja Nikolics,1987,F,Pendikspor,473,258,0,
Lukas Podolski,1985,F,Gornik Zabrze,738,257,4,
Bas Dost,1989,F,Utrecht,518,257,0,
Karl-Heinz Rummenigge,1955,F,Servette,518,255,1,
Roy Makaay,1975,F,Feyenoord,520,254,0,
Abderazak Hamdallah,1990,F,Al Ittihad-Jeddah,303,254,0,
Andriy Shevchenko,1976,F,Dynamo Kiev,529,253,1,
Aleksandar Mitrovic,1994,F,Fulham,501,253,6,
Lefter Küçükandonyadis,1924,F,Boluspor,471,253,4,
Roberto Baggio,1967,F,Brescia,539,251,3,
Zarra,1921,F,Athletic Bilbao,277,251,1,
Manfred Burgsmüller,1949,F,Werder Bremen,520,251,0,
Claudiu Keserü,1986,F,UTA Arad,588,251,2,
Jürgen Klinsmann,1964,F,OC Blue Star,543,249,0,
Dirk Kuyt,1980,F,Feyenoord,714,248,0,
Jose Altafini,1938,F,Chiasso,502,248,2,
Jardel,1973,F,Beira-Mar,275,247,3,
Dieter Müller,1954,F,Kickers Offenbach,413,246,0,
Anja Mittag,1985,F,RB Leipzig (K),355,246,0,
Aykut Kocaman,1965,F,İstanbulspor,482,246,0,
Ronaldo,1976,F,Corinthians,377,245,3,
Rannva Biskopsto Andreasen,1980,O,KI (K),268,245,1,
Ruben Castro,1981,F,Malaga,579,245,0,
Wissam Ben Yedder,1990,F,Monaco,498,243,1,
Carlos Tevez,1984,F,Boca Juniors,622,242,3,
Dries Mertens,1987,F,Galatasaray,710,242,2,
Santillana,1952,F,Real Madrid,570,242,0,
Feyyaz Uçar,1963,F,Kuşadasıspor,515,241,2,
Alexandre Lacazette,1991,F,Lyon,551,240,4,
Ali Mabkhout,1990,F,Al Jazira Abu Dhabi,312,240,0,
Jonas,1984,F,Benfica,432,239,6,
Ada Hegerberg,1995,F,Lyon (K),275,239,0,
Ruud Van Nistelrooy,1976,F,Malaga,435,238,1,
Omar Al Somah,1989,F,Al Arabi,297,237,1,
Andrej Kramaric,1991,F,Hoffenheim,521,235,1,
Antonio Di Natale,1977,F,Udinese,518,234,1,
Gabriel Barbosa,1996,F,Flamengo,487,234,8,
Sadio Mane,1992,F,Bayern Münih,561,234,7,
Heung-min Son,1992,F,Tottenham,653,234,4,
Baghdad Bounedjah,1991,F,Al Sadd,279,233,2,
Ulf Kirsten,1965,F,Bayer Leverkusen,460,232,5,
Erling Haaland,2000,F,Manchester City,283,232,0,
Kevin Gameiro,1987,F,RC Strasbourg,668,232,1,
Umut Bulut,1983,F,Eyüpspor,761,231,6,
Teemu Pukki,1990,F,Minnesota United,597,231,0,
Alexis Sanchez,1988,F,Marsilya,734,231,5,
Lisandro Lopez,1983,F,CA Sarmiento,610,230,4,
Alexandra Popp,1991,F,Wolfsburg (K),461,230,2,
Gunnar Nordahl,1921,F,Roma,296,229,2,
Alberto Gilardino,1982,F,Spezia,655,228,1,
Quini,1949,F,Sporting Gijon,490,228,0,
Peter Pacult,1959,F,Austria Wien,499,228,3,
Luuk de Jong,1990,F,PSV Eindhoven,599,228,1,
Mustafa Kocabey,1974,O,Adapazarı Spor,462,227,1,
Cristiana Girelli,1990,F,Juventus (K),363,227,0,
Mauro Boselli,1985,F,Estudiantes,513,227,1,
Arjen Robben,1984,O,Groningen,591,227,4,
Luis Fabiano,1980,F,Vasco da Gama,461,226,11,
Heidi Sevdal,1989,O,NSI (K),228,226,2,
Alvaro Negredo,1985,F,Cadiz,602,226,7,
